food_id,name,main_ingredients,description,health_benefits,food_class,region,spice_level,price_range,full_description,serving_size,calorie_content,lactose_free,low_carb,vegetarian,meal_type
101,Jollof Rice,Rice Tomatoes Peppers,A popular West African rice dish,Rich in vitamins & energy-dense,Main,Southwest,Medium,Affordable,Rice cooked with tomatoes and spices,1 cup,300,TRUE,FALSE,FALSE,Lunch
102,Okra Soup,Okra Fish Palm oil,Traditional soup with okra,High in fiber & vitamins,Soup,Southeast,Low,Affordable,Soup made with okra and assorted fish,1 cup,150,TRUE,TRUE,FALSE,Lunch
103,Moi Moi,Beans & Peppers & Onions,Steamed bean pudding,Protein-rich & low glycemic,Snack,North Central,Low,Affordable,Steamed pudding made from blended beans,1 wrap,200,TRUE,TRUE,TRUE,Breakfast
104,Efo Riro,Spinach & Fish & Palm oil,Spicy spinach stew,Rich in iron and vitamins,Main,Southwest,High,Affordable,Spicy stew made with spinach and fish,1 cup,180,TRUE,TRUE,FALSE,Lunch
105,Amala and Ewedu,Yam flour & Jute leaves,Traditional Yoruba dish,Low glycemic & high in fiber,Main,Southwest,Medium,Affordable,Yam flour with a jute leaf soup,1 serving,250,TRUE,TRUE,FALSE,Dinner
106,Edikang Ikong,Pumpkin leaves & Spinach,Nutritious vegetable soup,High in vitamins and minerals,Soup,South-South,Low,Expensive,Soup made with pumpkin leaves and spinach,1 cup,120,TRUE,TRUE,TRUE,Dinner
107,Afang Soup,Okazi leaves & Waterleaf,Traditional Efik/Ibibio soup,High in fiber & rich in vitamins,Soup,South-South,High,Expensive,Soup made with okazi and waterleaf,1 cup,180,TRUE,TRUE,TRUE,Dinner
108,Ogi and Akara,Fermented corn & Beans,Fermented corn porridge with bean fritters,Rich in protein and fiber,Breakfast,Southwest,Low,Affordable,Porridge with crispy bean fritters,1 cup,350,TRUE,FALSE,TRUE,Breakfast
109,Beans and Plantain,Beans & Plantain,Fried beans with sweet plantain,High protein and fiber content,Main,Southwest,Medium,Affordable,Mashed beans with fried plantains,1 plate,400,TRUE,TRUE,TRUE,Lunch
110,Egusi Soup,Melon seeds & Leafy greens,Rich soup with melon seeds,Rich in vitamins and minerals,Soup,Southwest,High,Affordable,Soup made with ground melon seeds and vegetables,1 cup,350,TRUE,TRUE,FALSE,Dinner
